scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
avoidance_none,No avoidance behavior,behavior,4,1003,0,495,0,5,0,0,0,0,0,1.0
avoidance_none,No avoidance behavior,behavior,4,1003,1,495,0,3,1,1,0,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,2,495,0,3,1,1,0,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,3,495,0,3,1,1,0,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,4,495,0,3,1,1,1,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,5,494,1,3,1,1,1,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,6,493,2,3,1,1,1,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,7,491,4,3,1,1,1,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,8,491,4,2,1,2,1,0,0,0.4
avoidance_none,No avoidance behavior,behavior,4,1003,9,491,4,2,1,2,1,0,0,0.4
avoidance_none,No avoidance behavior,behavior,4,1003,10,491,3,3,1,2,1,0,0,0.6
avoidance_none,No avoidance behavior,behavior,4,1003,11,490,3,4,1,2,2,0,0,0.8
avoidance_none,No avoidance behavior,behavior,4,1003,12,490,1,6,1,2,2,0,0,1.2
avoidance_none,No avoidance behavior,behavior,4,1003,13,488,3,6,1,2,2,0,0,1.2
avoidance_none,No avoidance behavior,behavior,4,1003,14,487,4,6,1,2,2,0,0,1.2
avoidance_none,No avoidance behavior,behavior,4,1003,15,486,5,5,2,2,2,0,0,1.0
avoidance_none,No avoidance behavior,behavior,4,1003,16,486,4,6,2,2,2,0,0,1.2
avoidance_none,No avoidance behavior,behavior,4,1003,17,485,5,6,2,2,2,0,0,1.2
avoidance_none,No avoidance behavior,behavior,4,1003,18,484,4,8,2,2,2,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,19,483,4,8,3,2,3,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,20,482,4,8,4,2,3,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,21,480,6,8,4,2,3,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,22,479,6,9,4,2,4,0,0,1.7999999999999998
avoidance_none,No avoidance behavior,behavior,4,1003,23,478,6,7,6,3,4,0,0,1.4000000000000001
avoidance_none,No avoidance behavior,behavior,4,1003,24,476,7,8,6,3,5,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,25,474,8,8,7,3,5,0,0,1.6
avoidance_none,No avoidance behavior,behavior,4,1003,26,474,6,10,7,3,5,0,0,2.0
avoidance_none,No avoidance behavior,behavior,4,1003,27,474,5,11,7,3,7,0,0,2.1999999999999997
avoidance_none,No avoidance behavior,behavior,4,1003,28,473,5,11,7,4,7,0,0,2.1999999999999997
avoidance_none,No avoidance behavior,behavior,4,1003,29,471,5,12,7,5,8,0,0,2.4
avoidance_none,No avoidance behavior,behavior,4,1003,30,468,6,14,7,5,8,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,31,465,9,13,8,5,8,0,0,2.6
avoidance_none,No avoidance behavior,behavior,4,1003,32,464,10,13,8,5,8,0,0,2.6
avoidance_none,No avoidance behavior,behavior,4,1003,33,463,10,14,8,5,8,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,34,462,9,16,8,5,8,0,0,3.2
avoidance_none,No avoidance behavior,behavior,4,1003,35,461,7,18,9,5,8,0,0,3.5999999999999996
avoidance_none,No avoidance behavior,behavior,4,1003,36,460,5,18,12,5,9,0,0,3.5999999999999996
avoidance_none,No avoidance behavior,behavior,4,1003,37,459,5,18,13,5,9,0,0,3.5999999999999996
avoidance_none,No avoidance behavior,behavior,4,1003,38,457,6,19,13,5,9,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,39,457,5,19,14,5,9,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,40,457,4,19,14,6,9,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,41,456,4,18,16,6,9,0,0,3.5999999999999996
avoidance_none,No avoidance behavior,behavior,4,1003,42,455,4,19,16,6,9,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,43,455,2,19,17,7,9,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,44,454,3,16,17,10,9,0,0,3.2
avoidance_none,No avoidance behavior,behavior,4,1003,45,453,4,14,19,10,9,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,46,453,3,14,20,10,9,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,47,452,3,14,21,10,9,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,48,450,5,14,21,10,9,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,49,450,4,14,22,10,9,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,50,449,4,13,24,10,9,0,0,2.6
avoidance_none,No avoidance behavior,behavior,4,1003,51,449,4,12,25,10,9,0,0,2.4
avoidance_none,No avoidance behavior,behavior,4,1003,52,448,4,13,25,10,9,0,0,2.6
avoidance_none,No avoidance behavior,behavior,4,1003,53,447,3,15,25,10,9,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,54,445,5,15,25,10,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,55,445,4,16,25,10,10,0,0,3.2
avoidance_none,No avoidance behavior,behavior,4,1003,56,443,6,14,27,10,10,0,0,2.8000000000000003
avoidance_none,No avoidance behavior,behavior,4,1003,57,440,8,15,27,10,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,58,440,7,15,28,10,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,59,438,7,15,30,10,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,60,437,8,15,30,10,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,61,437,6,15,31,11,10,0,0,3.0
avoidance_none,No avoidance behavior,behavior,4,1003,62,437,3,17,32,11,10,0,0,3.4000000000000004
avoidance_none,No avoidance behavior,behavior,4,1003,63,437,3,17,32,11,10,0,0,3.4000000000000004
avoidance_none,No avoidance behavior,behavior,4,1003,64,436,2,19,32,11,10,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,65,435,2,20,32,11,10,0,0,4.0
avoidance_none,No avoidance behavior,behavior,4,1003,66,435,2,19,33,11,10,0,0,3.8
avoidance_none,No avoidance behavior,behavior,4,1003,67,433,4,17,34,12,10,0,0,3.4000000000000004
