scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
baseline,Baseline,reference,10,1009,0,495,0,5,0,0,0,0,0,1.0
baseline,Baseline,reference,10,1009,1,494,1,5,0,0,2,0,0,1.0
baseline,Baseline,reference,10,1009,2,491,4,5,0,0,2,0,0,1.0
baseline,Baseline,reference,10,1009,3,490,5,4,1,0,3,0,0,0.8
baseline,Baseline,reference,10,1009,4,488,7,4,1,0,4,0,0,0.8
baseline,Baseline,reference,10,1009,5,486,9,3,2,0,5,0,0,0.6
baseline,Baseline,reference,10,1009,6,485,9,4,2,0,5,0,0,0.8
baseline,Baseline,reference,10,1009,7,484,7,7,2,0,5,0,0,1.4000000000000001
baseline,Baseline,reference,10,1009,8,484,6,7,3,0,5,0,0,1.4000000000000001
baseline,Baseline,reference,10,1009,9,482,6,8,4,0,5,0,1,1.6
baseline,Baseline,reference,10,1009,10,480,6,9,4,1,6,0,0,1.7999999999999998
baseline,Baseline,reference,10,1009,11,475,10,10,4,1,8,0,0,2.0
baseline,Baseline,reference,10,1009,12,471,13,11,4,1,8,0,0,2.1999999999999997
baseline,Baseline,reference,10,1009,13,468,16,8,7,1,8,0,0,1.6
baseline,Baseline,reference,10,1009,14,467,15,10,7,1,8,0,1,2.0
baseline,Baseline,reference,10,1009,15,464,16,11,8,1,9,0,1,2.1999999999999997
baseline,Baseline,reference,10,1009,16,463,12,13,11,1,9,0,2,2.6
baseline,Baseline,reference,10,1009,17,459,12,16,12,1,9,0,2,3.2
baseline,Baseline,reference,10,1009,18,455,13,19,12,1,9,0,2,3.8
baseline,Baseline,reference,10,1009,19,449,18,20,12,1,9,0,2,4.0
baseline,Baseline,reference,10,1009,20,445,19,22,13,1,10,0,1,4.3999999999999995
baseline,Baseline,reference,10,1009,21,442,21,22,14,1,10,0,2,4.3999999999999995
baseline,Baseline,reference,10,1009,22,441,18,25,15,1,10,0,1,5.0
baseline,Baseline,reference,10,1009,23,439,16,27,17,1,10,0,2,5.4
baseline,Baseline,reference,10,1009,24,436,13,31,19,1,11,0,2,6.2
baseline,Baseline,reference,10,1009,25,432,13,34,19,2,11,0,4,6.800000000000001
baseline,Baseline,reference,10,1009,26,427,15,36,20,2,12,0,5,7.199999999999999
baseline,Baseline,reference,10,1009,27,424,17,33,23,3,12,0,5,6.6000000000000005
baseline,Baseline,reference,10,1009,28,422,17,32,26,3,12,0,4,6.4
baseline,Baseline,reference,10,1009,29,420,16,35,26,3,12,0,5,7.000000000000001
baseline,Baseline,reference,10,1009,30,419,13,35,30,3,12,0,4,7.000000000000001
baseline,Baseline,reference,10,1009,31,417,10,36,33,4,12,0,5,7.199999999999999
baseline,Baseline,reference,10,1009,32,416,8,37,34,5,13,0,7,7.3999999999999995
baseline,Baseline,reference,10,1009,33,411,11,37,35,6,13,0,8,7.3999999999999995
