scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
hospital_none,No hospital support,hospital,10,1009,0,495,0,5,0,0,0,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,1,493,2,5,0,0,0,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,2,491,4,5,0,0,1,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,3,488,7,5,0,0,2,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,4,488,7,5,0,0,2,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,5,488,7,5,0,0,2,0,0,1.0
hospital_none,No hospital support,hospital,10,1009,6,488,5,6,0,1,3,0,0,1.2
hospital_none,No hospital support,hospital,10,1009,7,486,5,7,1,1,3,0,0,1.4000000000000001
hospital_none,No hospital support,hospital,10,1009,8,484,4,10,1,1,4,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,9,482,6,10,1,1,4,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,10,481,7,10,1,1,4,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,11,480,8,10,1,1,5,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,12,478,8,11,2,1,6,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,13,477,7,11,3,2,6,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,14,472,10,13,3,2,6,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,15,470,11,14,3,2,6,0,0,2.8000000000000003
hospital_none,No hospital support,hospital,10,1009,16,466,14,14,4,2,7,0,0,2.8000000000000003
hospital_none,No hospital support,hospital,10,1009,17,466,12,15,4,3,7,0,0,3.0
hospital_none,No hospital support,hospital,10,1009,18,462,15,16,4,3,7,0,0,3.2
hospital_none,No hospital support,hospital,10,1009,19,460,12,20,5,3,9,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,20,458,12,18,9,3,9,0,0,3.5999999999999996
hospital_none,No hospital support,hospital,10,1009,21,457,9,20,11,3,9,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,22,457,9,20,11,3,9,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,23,453,9,23,11,4,9,0,0,4.6
hospital_none,No hospital support,hospital,10,1009,24,450,10,24,12,4,9,0,0,4.8
hospital_none,No hospital support,hospital,10,1009,25,448,10,25,13,4,9,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,26,446,11,25,14,4,9,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,27,443,14,24,15,4,9,0,0,4.8
hospital_none,No hospital support,hospital,10,1009,28,441,12,25,16,6,9,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,29,440,10,28,16,6,9,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,30,439,9,27,19,6,9,0,0,5.4
hospital_none,No hospital support,hospital,10,1009,31,438,8,23,24,7,10,0,0,4.6
hospital_none,No hospital support,hospital,10,1009,32,435,8,25,25,7,10,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,33,430,11,25,26,8,10,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,34,427,13,25,26,9,10,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,35,426,13,26,26,9,10,0,0,5.2
hospital_none,No hospital support,hospital,10,1009,36,422,16,27,26,9,11,0,0,5.4
hospital_none,No hospital support,hospital,10,1009,37,420,15,30,26,9,11,0,0,6.0
hospital_none,No hospital support,hospital,10,1009,38,416,14,32,28,10,11,0,0,6.4
hospital_none,No hospital support,hospital,10,1009,39,415,12,32,31,10,11,0,0,6.4
hospital_none,No hospital support,hospital,10,1009,40,412,14,31,33,10,11,0,0,6.2
hospital_none,No hospital support,hospital,10,1009,41,410,12,30,38,10,11,0,0,6.0
hospital_none,No hospital support,hospital,10,1009,42,409,11,32,38,10,11,0,0,6.4
hospital_none,No hospital support,hospital,10,1009,43,404,12,35,39,10,11,0,0,7.000000000000001
hospital_none,No hospital support,hospital,10,1009,44,403,12,34,41,10,11,0,0,6.800000000000001
hospital_none,No hospital support,hospital,10,1009,45,400,12,34,43,11,11,0,0,6.800000000000001
hospital_none,No hospital support,hospital,10,1009,46,399,11,35,44,11,12,0,0,7.000000000000001
hospital_none,No hospital support,hospital,10,1009,47,398,11,33,47,11,12,0,0,6.6000000000000005
hospital_none,No hospital support,hospital,10,1009,48,393,11,37,47,12,12,0,0,7.3999999999999995
hospital_none,No hospital support,hospital,10,1009,49,392,11,35,49,13,13,0,0,7.000000000000001
hospital_none,No hospital support,hospital,10,1009,50,389,11,34,52,14,14,0,0,6.800000000000001
hospital_none,No hospital support,hospital,10,1009,51,387,12,34,53,14,14,0,0,6.800000000000001
hospital_none,No hospital support,hospital,10,1009,52,386,12,33,54,15,14,0,0,6.6000000000000005
hospital_none,No hospital support,hospital,10,1009,53,383,10,36,54,17,14,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,54,381,11,36,55,17,15,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,55,380,9,36,56,19,15,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,56,377,10,36,57,20,15,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,57,376,10,35,59,20,15,0,0,7.000000000000001
hospital_none,No hospital support,hospital,10,1009,58,375,8,36,61,20,15,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,59,375,6,37,61,21,15,0,0,7.3999999999999995
hospital_none,No hospital support,hospital,10,1009,60,375,5,36,63,21,15,0,0,7.199999999999999
hospital_none,No hospital support,hospital,10,1009,61,374,3,37,65,21,15,0,0,7.3999999999999995
hospital_none,No hospital support,hospital,10,1009,62,373,3,34,68,22,15,0,0,6.800000000000001
hospital_none,No hospital support,hospital,10,1009,63,369,6,32,70,23,15,0,0,6.4
hospital_none,No hospital support,hospital,10,1009,64,368,7,28,73,24,16,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,65,366,9,26,75,24,16,0,0,5.2
hospital_none,No hospital support,hospital,10,1009,66,365,9,25,77,24,16,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,67,365,8,25,78,24,17,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,68,364,5,28,79,24,18,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,69,363,5,29,79,24,18,0,0,5.800000000000001
hospital_none,No hospital support,hospital,10,1009,70,361,5,30,80,24,18,0,0,6.0
hospital_none,No hospital support,hospital,10,1009,71,360,5,31,80,24,18,0,0,6.2
hospital_none,No hospital support,hospital,10,1009,72,358,7,28,83,24,18,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,73,358,6,28,83,25,18,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,74,358,5,29,83,25,18,0,0,5.800000000000001
hospital_none,No hospital support,hospital,10,1009,75,356,5,31,83,25,19,0,0,6.2
hospital_none,No hospital support,hospital,10,1009,76,356,4,27,87,26,19,0,0,5.4
hospital_none,No hospital support,hospital,10,1009,77,354,4,28,88,26,19,0,0,5.6000000000000005
hospital_none,No hospital support,hospital,10,1009,78,353,5,26,89,27,19,0,0,5.2
hospital_none,No hospital support,hospital,10,1009,79,353,5,26,89,27,19,0,0,5.2
hospital_none,No hospital support,hospital,10,1009,80,351,5,27,89,28,19,0,0,5.4
hospital_none,No hospital support,hospital,10,1009,81,350,6,27,89,28,20,0,0,5.4
hospital_none,No hospital support,hospital,10,1009,82,350,4,25,92,29,20,0,0,5.0
hospital_none,No hospital support,hospital,10,1009,83,349,4,23,95,29,20,0,0,4.6
hospital_none,No hospital support,hospital,10,1009,84,347,6,21,97,29,20,0,0,4.2
hospital_none,No hospital support,hospital,10,1009,85,347,4,23,97,29,20,0,0,4.6
hospital_none,No hospital support,hospital,10,1009,86,347,3,23,98,29,20,0,0,4.6
hospital_none,No hospital support,hospital,10,1009,87,345,5,21,100,29,21,0,0,4.2
hospital_none,No hospital support,hospital,10,1009,88,345,4,22,100,29,21,0,0,4.3999999999999995
hospital_none,No hospital support,hospital,10,1009,89,344,3,22,101,30,21,0,0,4.3999999999999995
hospital_none,No hospital support,hospital,10,1009,90,343,4,21,101,31,21,0,0,4.2
hospital_none,No hospital support,hospital,10,1009,91,343,4,20,102,31,21,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,92,341,4,21,103,31,21,0,0,4.2
hospital_none,No hospital support,hospital,10,1009,93,340,5,19,105,31,22,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,94,340,4,20,105,31,22,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,95,339,4,19,107,31,23,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,96,339,4,19,107,31,23,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,97,339,2,21,107,31,23,0,0,4.2
hospital_none,No hospital support,hospital,10,1009,98,339,1,19,110,31,23,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,99,339,1,19,110,31,23,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,100,339,0,20,110,31,23,0,0,4.0
hospital_none,No hospital support,hospital,10,1009,101,338,1,19,111,31,23,0,0,3.8
hospital_none,No hospital support,hospital,10,1009,102,338,1,18,112,31,23,0,0,3.5999999999999996
hospital_none,No hospital support,hospital,10,1009,103,338,1,17,112,32,23,0,0,3.4000000000000004
hospital_none,No hospital support,hospital,10,1009,104,338,1,16,113,32,23,0,0,3.2
hospital_none,No hospital support,hospital,10,1009,105,338,1,15,113,33,23,0,0,3.0
hospital_none,No hospital support,hospital,10,1009,106,338,0,14,114,34,23,0,0,2.8000000000000003
hospital_none,No hospital support,hospital,10,1009,107,338,0,13,114,35,25,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,108,337,1,13,114,35,25,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,109,336,2,12,115,35,25,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,110,336,2,12,115,35,25,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,111,336,2,12,115,35,25,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,112,335,3,11,116,35,25,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,113,335,2,12,116,35,25,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,114,334,2,13,116,35,26,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,115,334,2,10,119,35,26,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,116,334,2,10,119,35,26,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,117,333,2,11,119,35,26,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,118,332,3,11,119,35,26,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,119,332,2,12,119,35,26,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,120,330,4,12,119,35,26,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,121,329,5,12,119,35,27,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,122,329,4,13,119,35,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,123,329,3,14,119,35,27,0,0,2.8000000000000003
hospital_none,No hospital support,hospital,10,1009,124,329,3,13,120,35,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,125,329,1,14,120,36,27,0,0,2.8000000000000003
hospital_none,No hospital support,hospital,10,1009,126,329,0,13,121,37,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,127,327,2,13,121,37,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,128,325,4,12,122,37,27,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,129,324,5,11,123,37,27,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,130,324,5,11,123,37,27,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,131,324,5,10,124,37,27,0,0,2.0
hospital_none,No hospital support,hospital,10,1009,132,323,4,12,124,37,27,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,133,322,3,13,125,37,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,134,321,3,13,126,37,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,135,321,3,12,127,37,27,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,136,320,4,11,127,38,27,0,0,2.1999999999999997
hospital_none,No hospital support,hospital,10,1009,137,320,3,12,127,38,27,0,0,2.4
hospital_none,No hospital support,hospital,10,1009,138,319,3,13,127,38,27,0,0,2.6
hospital_none,No hospital support,hospital,10,1009,139,319,2,12,128,39,27,0,0,2.4
