scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
quarantine_disabled,Quarantine disabled,quarantine,3,1002,0,495,0,5,0,0,0,0,0,1.0
quarantine_disabled,Quarantine disabled,quarantine,3,1002,1,495,0,4,0,1,0,0,0,0.8
quarantine_disabled,Quarantine disabled,quarantine,3,1002,2,493,2,4,0,1,0,0,0,0.8
quarantine_disabled,Quarantine disabled,quarantine,3,1002,3,492,3,3,1,1,0,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,4,492,3,3,1,1,0,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,5,490,5,3,1,1,1,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,6,490,5,3,1,1,1,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,7,489,4,5,1,1,1,0,0,1.0
quarantine_disabled,Quarantine disabled,quarantine,3,1002,8,486,6,6,1,1,1,0,0,1.2
quarantine_disabled,Quarantine disabled,quarantine,3,1002,9,486,6,3,4,1,1,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,10,484,6,4,5,1,1,0,0,0.8
quarantine_disabled,Quarantine disabled,quarantine,3,1002,11,482,8,4,5,1,1,0,0,0.8
quarantine_disabled,Quarantine disabled,quarantine,3,1002,12,482,7,3,7,1,1,0,0,0.6
quarantine_disabled,Quarantine disabled,quarantine,3,1002,13,479,7,5,8,1,2,0,0,1.0
quarantine_disabled,Quarantine disabled,quarantine,3,1002,14,479,7,4,9,1,2,0,0,0.8
quarantine_disabled,Quarantine disabled,quarantine,3,1002,15,479,5,5,10,1,3,0,0,1.0
quarantine_disabled,Quarantine disabled,quarantine,3,1002,16,478,4,7,10,1,3,0,0,1.4000000000000001
quarantine_disabled,Quarantine disabled,quarantine,3,1002,17,476,6,7,10,1,3,0,0,1.4000000000000001
quarantine_disabled,Quarantine disabled,quarantine,3,1002,18,472,7,10,10,1,3,0,0,2.0
quarantine_disabled,Quarantine disabled,quarantine,3,1002,19,467,12,9,11,1,3,0,0,1.7999999999999998
