scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
quarantine_early,Early quarantine activation,quarantine,6,1005,0,495,0,5,0,0,0,0,0,1.0
quarantine_early,Early quarantine activation,quarantine,6,1005,1,490,5,5,0,0,1,0,0,1.0
quarantine_early,Early quarantine activation,quarantine,6,1005,2,488,7,4,1,0,1,0,0,0.8
quarantine_early,Early quarantine activation,quarantine,6,1005,3,486,9,4,1,0,2,0,0,0.8
quarantine_early,Early quarantine activation,quarantine,6,1005,4,485,10,4,1,0,2,0,0,0.8
quarantine_early,Early quarantine activation,quarantine,6,1005,5,483,12,4,1,0,2,0,0,0.8
quarantine_early,Early quarantine activation,quarantine,6,1005,6,482,8,9,1,0,2,0,0,1.7999999999999998
quarantine_early,Early quarantine activation,quarantine,6,1005,7,479,9,11,1,0,2,0,2,2.1999999999999997
quarantine_early,Early quarantine activation,quarantine,6,1005,8,478,8,12,1,1,2,0,2,2.4
quarantine_early,Early quarantine activation,quarantine,6,1005,9,474,11,12,2,1,2,0,2,2.4
quarantine_early,Early quarantine activation,quarantine,6,1005,10,471,12,13,3,1,2,0,2,2.6
quarantine_early,Early quarantine activation,quarantine,6,1005,11,469,13,14,3,1,2,0,3,2.8000000000000003
quarantine_early,Early quarantine activation,quarantine,6,1005,12,469,10,16,4,1,2,0,2,3.2
quarantine_early,Early quarantine activation,quarantine,6,1005,13,466,12,16,5,1,2,0,5,3.2
quarantine_early,Early quarantine activation,quarantine,6,1005,14,464,10,19,6,1,3,0,6,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,15,461,10,20,8,1,3,0,6,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,16,460,9,21,9,1,3,16,7,4.2
quarantine_early,Early quarantine activation,quarantine,6,1005,17,460,9,19,11,1,3,16,9,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,18,455,11,19,14,1,3,0,10,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,19,454,10,19,16,1,3,0,8,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,20,453,8,20,18,1,3,0,9,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,21,452,8,20,19,1,3,17,9,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,22,451,9,19,20,1,3,18,7,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,23,450,5,21,23,1,3,0,6,4.2
quarantine_early,Early quarantine activation,quarantine,6,1005,24,446,8,20,25,1,3,20,6,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,25,444,9,20,26,1,3,18,8,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,26,443,9,21,26,1,3,17,8,4.2
quarantine_early,Early quarantine activation,quarantine,6,1005,27,443,8,20,28,1,3,17,9,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,28,443,7,19,29,2,3,17,7,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,29,443,3,22,30,2,3,0,6,4.3999999999999995
quarantine_early,Early quarantine activation,quarantine,6,1005,30,443,1,22,32,2,3,20,7,4.3999999999999995
quarantine_early,Early quarantine activation,quarantine,6,1005,31,443,0,22,33,2,3,20,8,4.3999999999999995
quarantine_early,Early quarantine activation,quarantine,6,1005,32,442,1,20,35,2,3,20,5,4.0
quarantine_early,Early quarantine activation,quarantine,6,1005,33,441,2,19,35,3,3,18,5,3.8
quarantine_early,Early quarantine activation,quarantine,6,1005,34,441,2,17,37,3,4,0,4,3.4000000000000004
