scenario_id,scenario_label,family,replicate,seed,step,Susceptible,Exposed,Infected,Recovered,Deceased,Vaccinated,QuarantineZones,HospitalPatients,InfectedPercent
vaccination_none,No vaccination points,vaccination,5,1004,0,495,0,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,1,493,2,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,2,493,2,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,3,492,3,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,4,492,3,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,5,490,5,5,0,0,0,0,0,1.0
vaccination_none,No vaccination points,vaccination,5,1004,6,489,4,7,0,0,0,0,0,1.4000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,7,487,6,7,0,0,0,0,0,1.4000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,8,481,11,7,1,0,0,0,0,1.4000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,9,479,13,6,2,0,0,0,0,1.2
vaccination_none,No vaccination points,vaccination,5,1004,10,477,13,8,2,0,0,0,0,1.6
vaccination_none,No vaccination points,vaccination,5,1004,11,475,14,9,2,0,0,0,0,1.7999999999999998
vaccination_none,No vaccination points,vaccination,5,1004,12,474,13,10,3,0,0,0,1,2.0
vaccination_none,No vaccination points,vaccination,5,1004,13,472,9,15,4,0,0,0,0,3.0
vaccination_none,No vaccination points,vaccination,5,1004,14,468,11,16,5,0,0,0,1,3.2
vaccination_none,No vaccination points,vaccination,5,1004,15,466,11,17,6,0,0,0,1,3.4000000000000004
vaccination_none,No vaccination points,vaccination,5,1004,16,464,11,18,6,1,0,0,1,3.5999999999999996
vaccination_none,No vaccination points,vaccination,5,1004,17,460,14,18,7,1,0,0,1,3.5999999999999996
vaccination_none,No vaccination points,vaccination,5,1004,18,457,15,20,7,1,0,0,1,4.0
vaccination_none,No vaccination points,vaccination,5,1004,19,451,17,24,7,1,0,0,1,4.8
vaccination_none,No vaccination points,vaccination,5,1004,20,448,18,24,8,2,0,0,1,4.8
vaccination_none,No vaccination points,vaccination,5,1004,21,443,21,25,9,2,0,0,2,5.0
vaccination_none,No vaccination points,vaccination,5,1004,22,440,20,24,13,3,0,0,2,4.8
vaccination_none,No vaccination points,vaccination,5,1004,23,436,21,26,13,4,0,0,3,5.2
vaccination_none,No vaccination points,vaccination,5,1004,24,429,22,29,16,4,0,0,2,5.800000000000001
vaccination_none,No vaccination points,vaccination,5,1004,25,424,24,32,16,4,0,0,3,6.4
vaccination_none,No vaccination points,vaccination,5,1004,26,420,23,33,20,4,0,0,3,6.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,27,417,23,35,21,4,0,0,6,7.000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,28,412,24,36,24,4,0,0,8,7.199999999999999
vaccination_none,No vaccination points,vaccination,5,1004,29,410,19,40,27,4,0,0,7,8.0
vaccination_none,No vaccination points,vaccination,5,1004,30,408,16,41,31,4,0,0,9,8.200000000000001
vaccination_none,No vaccination points,vaccination,5,1004,31,405,15,43,33,4,0,0,9,8.6
vaccination_none,No vaccination points,vaccination,5,1004,32,400,17,44,35,4,0,0,9,8.799999999999999
vaccination_none,No vaccination points,vaccination,5,1004,33,393,19,46,38,4,0,0,7,9.2
vaccination_none,No vaccination points,vaccination,5,1004,34,391,19,47,38,5,0,0,8,9.4
vaccination_none,No vaccination points,vaccination,5,1004,35,388,20,45,41,6,0,0,8,9.0
vaccination_none,No vaccination points,vaccination,5,1004,36,385,20,46,43,6,0,0,7,9.2
vaccination_none,No vaccination points,vaccination,5,1004,37,382,18,46,47,7,0,0,8,9.2
vaccination_none,No vaccination points,vaccination,5,1004,38,379,14,49,50,8,0,0,6,9.8
vaccination_none,No vaccination points,vaccination,5,1004,39,375,16,49,52,8,0,0,8,9.8
vaccination_none,No vaccination points,vaccination,5,1004,40,372,16,51,53,8,0,0,8,10.2
vaccination_none,No vaccination points,vaccination,5,1004,41,370,15,53,53,9,0,0,10,10.6
vaccination_none,No vaccination points,vaccination,5,1004,42,368,14,52,57,9,0,0,10,10.4
vaccination_none,No vaccination points,vaccination,5,1004,43,365,14,51,59,11,0,0,9,10.2
vaccination_none,No vaccination points,vaccination,5,1004,44,362,13,51,62,12,0,0,9,10.2
vaccination_none,No vaccination points,vaccination,5,1004,45,356,16,49,66,13,0,0,8,9.8
vaccination_none,No vaccination points,vaccination,5,1004,46,353,17,46,69,15,0,0,7,9.2
vaccination_none,No vaccination points,vaccination,5,1004,47,351,17,43,73,16,0,0,7,8.6
vaccination_none,No vaccination points,vaccination,5,1004,48,350,15,45,74,16,0,0,6,9.0
vaccination_none,No vaccination points,vaccination,5,1004,49,349,13,46,76,16,0,0,6,9.2
vaccination_none,No vaccination points,vaccination,5,1004,50,348,8,52,76,16,0,0,6,10.4
vaccination_none,No vaccination points,vaccination,5,1004,51,347,6,53,77,17,0,0,6,10.6
vaccination_none,No vaccination points,vaccination,5,1004,52,339,12,50,81,18,0,0,4,10.0
vaccination_none,No vaccination points,vaccination,5,1004,53,337,13,47,84,19,0,0,4,9.4
vaccination_none,No vaccination points,vaccination,5,1004,54,335,14,45,87,19,0,0,5,9.0
vaccination_none,No vaccination points,vaccination,5,1004,55,333,15,43,90,19,0,0,5,8.6
vaccination_none,No vaccination points,vaccination,5,1004,56,331,16,38,93,22,0,0,6,7.6
vaccination_none,No vaccination points,vaccination,5,1004,57,328,11,43,96,22,0,0,5,8.6
vaccination_none,No vaccination points,vaccination,5,1004,58,327,10,41,99,23,0,0,5,8.200000000000001
vaccination_none,No vaccination points,vaccination,5,1004,59,321,14,40,100,25,0,0,5,8.0
vaccination_none,No vaccination points,vaccination,5,1004,60,320,13,39,103,25,0,0,6,7.8
vaccination_none,No vaccination points,vaccination,5,1004,61,316,15,40,104,25,0,0,5,8.0
vaccination_none,No vaccination points,vaccination,5,1004,62,314,14,43,104,25,0,0,7,8.6
vaccination_none,No vaccination points,vaccination,5,1004,63,313,14,41,107,25,0,0,9,8.200000000000001
vaccination_none,No vaccination points,vaccination,5,1004,64,311,10,43,109,27,0,0,6,8.6
vaccination_none,No vaccination points,vaccination,5,1004,65,309,11,41,112,27,0,0,8,8.200000000000001
vaccination_none,No vaccination points,vaccination,5,1004,66,309,7,45,112,27,0,0,8,9.0
vaccination_none,No vaccination points,vaccination,5,1004,67,306,8,43,115,28,0,0,8,8.6
vaccination_none,No vaccination points,vaccination,5,1004,68,302,11,38,120,29,0,0,6,7.6
vaccination_none,No vaccination points,vaccination,5,1004,69,301,10,37,122,30,0,0,7,7.3999999999999995
vaccination_none,No vaccination points,vaccination,5,1004,70,299,10,37,124,30,0,0,7,7.3999999999999995
vaccination_none,No vaccination points,vaccination,5,1004,71,298,11,35,126,30,0,0,7,7.000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,72,298,8,33,131,30,0,0,5,6.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,73,297,5,35,133,30,0,0,4,7.000000000000001
vaccination_none,No vaccination points,vaccination,5,1004,74,296,5,33,135,31,0,0,4,6.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,75,293,6,34,136,31,0,0,4,6.800000000000001
vaccination_none,No vaccination points,vaccination,5,1004,76,291,7,33,138,31,0,0,3,6.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,77,290,8,31,140,31,0,0,3,6.2
vaccination_none,No vaccination points,vaccination,5,1004,78,289,8,27,145,31,0,0,3,5.4
vaccination_none,No vaccination points,vaccination,5,1004,79,288,8,27,146,31,0,0,1,5.4
vaccination_none,No vaccination points,vaccination,5,1004,80,288,5,28,148,31,0,0,1,5.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,81,287,4,28,148,33,0,0,1,5.6000000000000005
vaccination_none,No vaccination points,vaccination,5,1004,82,287,3,27,150,33,0,0,1,5.4
vaccination_none,No vaccination points,vaccination,5,1004,83,285,4,26,151,34,0,0,0,5.2
vaccination_none,No vaccination points,vaccination,5,1004,84,283,5,27,151,34,0,0,0,5.4
vaccination_none,No vaccination points,vaccination,5,1004,85,282,6,24,154,34,0,0,0,4.8
vaccination_none,No vaccination points,vaccination,5,1004,86,282,5,20,158,35,0,0,0,4.0
vaccination_none,No vaccination points,vaccination,5,1004,87,281,6,19,158,36,0,0,0,3.8
vaccination_none,No vaccination points,vaccination,5,1004,88,280,5,21,158,36,0,0,0,4.2
vaccination_none,No vaccination points,vaccination,5,1004,89,279,4,23,158,36,0,0,1,4.6
vaccination_none,No vaccination points,vaccination,5,1004,90,276,6,22,160,36,0,0,0,4.3999999999999995
vaccination_none,No vaccination points,vaccination,5,1004,91,275,7,20,162,36,0,0,0,4.0
vaccination_none,No vaccination points,vaccination,5,1004,92,271,10,19,164,36,0,0,0,3.8
vaccination_none,No vaccination points,vaccination,5,1004,93,270,10,20,164,36,0,0,0,4.0
vaccination_none,No vaccination points,vaccination,5,1004,94,269,10,21,164,36,0,0,0,4.2
vaccination_none,No vaccination points,vaccination,5,1004,95,269,7,24,164,36,0,0,0,4.8
vaccination_none,No vaccination points,vaccination,5,1004,96,268,7,25,164,36,0,0,0,5.0
vaccination_none,No vaccination points,vaccination,5,1004,97,267,4,25,168,36,0,0,0,5.0
vaccination_none,No vaccination points,vaccination,5,1004,98,264,6,23,170,37,0,0,0,4.6
vaccination_none,No vaccination points,vaccination,5,1004,99,263,6,22,172,37,0,0,0,4.3999999999999995
vaccination_none,No vaccination points,vaccination,5,1004,100,263,6,18,174,39,0,0,0,3.5999999999999996
vaccination_none,No vaccination points,vaccination,5,1004,101,261,7,19,174,39,0,0,0,3.8
vaccination_none,No vaccination points,vaccination,5,1004,102,261,6,18,175,40,0,0,0,3.5999999999999996
vaccination_none,No vaccination points,vaccination,5,1004,103,260,4,20,176,40,0,0,0,4.0
