scenario_id,scenario_label,family,replicate,seed,steps_completed,epidemic_ended,peak_infected,peak_infected_step,infected_person_steps,ever_infected,attack_rate_percent,final_susceptible,final_recovered,final_deceased,mortality_percent_population,final_vaccinated,peak_quarantine_zones,steps_with_quarantine,peak_hospital_patients
baseline,Baseline,reference,1,1000,334,True,38,166,5135,329,65.8,171,271,58,11.600000000000001,35,0,0,13
baseline,Baseline,reference,2,1001,170,True,44,29,3372,226,45.2,274,180,46,9.2,19,0,0,5
baseline,Baseline,reference,3,1002,250,True,50,76,4305,313,62.6,187,240,73,14.6,13,0,0,12
baseline,Baseline,reference,4,1003,219,True,50,70,4522,277,55.400000000000006,223,229,48,9.6,16,0,0,14
baseline,Baseline,reference,5,1004,363,True,46,84,5151,324,64.8,176,270,54,10.8,48,0,0,10
baseline,Baseline,reference,6,1005,217,True,22,20,2449,194,38.800000000000004,306,160,34,6.800000000000001,32,0,0,11
baseline,Baseline,reference,7,1006,246,True,56,76,5841,374,74.8,126,312,62,12.4,21,0,0,11
baseline,Baseline,reference,8,1007,187,True,50,56,3611,273,54.6,227,221,52,10.4,16,0,0,8
baseline,Baseline,reference,9,1008,209,True,49,74,3990,288,57.599999999999994,212,239,49,9.8,21,0,0,12
baseline,Baseline,reference,10,1009,184,True,39,38,3517,242,48.4,258,200,42,8.4,22,0,0,13
transmission_low,Lower transmission,transmission,1,1000,187,True,16,56,1652,123,24.6,377,103,20,4.0,20,0,0,5
transmission_low,Lower transmission,transmission,2,1001,209,True,18,57,1539,89,17.8,411,74,15,3.0,36,0,0,6
transmission_low,Lower transmission,transmission,3,1002,213,True,54,60,3657,229,45.800000000000004,271,178,51,10.2,22,0,0,6
transmission_low,Lower transmission,transmission,4,1003,316,True,17,73,1974,111,22.2,389,90,21,4.2,48,0,0,0
transmission_low,Lower transmission,transmission,5,1004,113,True,13,26,546,46,9.2,454,38,8,1.6,22,0,0,9
transmission_low,Lower transmission,transmission,6,1005,116,True,26,28,1306,104,20.8,396,92,12,2.4,20,0,0,12
transmission_low,Lower transmission,transmission,7,1006,376,True,48,88,4564,299,59.8,201,246,53,10.6,38,0,0,11
transmission_low,Lower transmission,transmission,8,1007,535,True,32,37,3407,236,47.199999999999996,264,187,49,9.8,49,0,0,6
transmission_low,Lower transmission,transmission,9,1008,200,True,34,79,2965,217,43.4,283,178,39,7.8,31,0,0,11
transmission_low,Lower transmission,transmission,10,1009,274,True,22,62,2733,184,36.8,316,157,27,5.4,41,0,0,7
transmission_high,Higher transmission,transmission,1,1000,235,True,56,48,4325,313,62.6,187,268,45,9.0,21,0,0,16
transmission_high,Higher transmission,transmission,2,1001,184,True,54,44,4336,293,58.599999999999994,207,236,57,11.4,19,0,0,8
transmission_high,Higher transmission,transmission,3,1002,241,True,73,97,5925,421,84.2,79,343,78,15.6,14,0,0,16
transmission_high,Higher transmission,transmission,4,1003,263,True,36,106,4158,299,59.8,201,234,65,13.0,16,0,0,12
transmission_high,Higher transmission,transmission,5,1004,173,True,64,28,4029,297,59.4,203,247,50,10.0,24,0,0,20
transmission_high,Higher transmission,transmission,6,1005,233,True,45,44,3003,232,46.400000000000006,268,201,31,6.2,35,0,0,19
transmission_high,Higher transmission,transmission,7,1006,198,True,66,100,5003,361,72.2,139,293,68,13.600000000000001,15,0,0,19
transmission_high,Higher transmission,transmission,8,1007,197,True,88,38,4797,350,70.0,150,281,69,13.8,13,0,0,14
transmission_high,Higher transmission,transmission,9,1008,213,True,83,88,6581,443,88.6,57,355,88,17.599999999999998,3,0,0,9
