scenario_id,scenario_label,family,runs,mean_steps_completed,ended_runs,mean_peak_infected,std_peak_infected,mean_peak_infected_step,mean_infected_person_steps,mean_ever_infected,mean_attack_rate_percent,std_attack_rate_percent,mean_final_recovered,mean_final_deceased,std_final_deceased,mean_mortality_percent_population,mean_final_vaccinated,runs_with_quarantine,mean_steps_with_quarantine,mean_peak_hospital_patients
avoidance_high,High avoidance behavior,behavior,10,266.0,10,45.7,12.25697080576328,61.6,4225.0,295.1,59.02,13.949575859740916,242.6,52.5,17.507141400011598,10.5,22.2,0,0.0,9.9
avoidance_none,No avoidance behavior,behavior,10,249.3,10,39.3,11.719404611346281,49.9,3404.4,236.9,47.38,12.991433074658596,195.8,41.1,15.800492256748063,8.22,32.7,0,0.0,9.4
hospital_expanded,Expanded hospital coverage,hospital,10,182.4,10,26.6,9.347608131376592,49.8,2084.8,186.2,37.239999999999995,10.584181068410013,160.1,26.1,12.705641791477253,5.22,24.0,0,0.0,11.2
hospital_none,No hospital support,hospital,10,282.9,10,50.2,9.354737361952559,70.9,5247.8,332.4,66.47999999999999,12.246069664272786,260.9,71.5,13.954290459289652,14.3,24.0,0,0.0,0.0
quarantine_disabled,Quarantine disabled,quarantine,10,237.9,10,44.4,9.57078889120432,68.9,4189.3,284.0,56.8,10.745541711178019,232.2,51.8,10.881176406988354,10.360000000000001,24.3,0,0.0,10.9
quarantine_early,Early quarantine activation,quarantine,10,199.9,10,31.3,4.571651780264984,37.9,1962.6,135.3,27.060000000000002,11.945822142768856,111.6,23.7,12.428014948315584,4.74,26.9,10,32.1,7.0
baseline,Baseline,reference,10,237.9,10,44.4,9.57078889120432,68.9,4189.3,284.0,56.8,10.745541711178019,232.2,51.8,10.881176406988354,10.360000000000001,24.3,0,0.0,10.9
transmission_high,Higher transmission,transmission,10,210.5,10,63.2,16.102449779114007,64.7,4704.5,333.8,66.76,12.57503700016646,273.6,60.2,16.778292854492413,12.040000000000001,17.9,0,0.0,15.1
transmission_low,Lower transmission,transmission,10,253.9,10,28.0,13.976170195491086,56.6,2434.3,163.8,32.760000000000005,16.121979475927333,134.3,29.5,17.10263137648707,5.9,32.7,0,0.0,7.3
vaccination_dense,Expanded vaccination programme,vaccination,10,202.2,10,34.2,10.840254199561517,57.2,2356.6,167.8,33.56,10.3463573836936,138.8,29.0,12.666666666666668,5.8,174.7,0,0.0,9.6
vaccination_none,No vaccination points,vaccination,10,248.8,10,47.6,9.535897091167318,69.8,4015.5,283.2,56.64,12.92570221604141,230.6,52.6,14.508235209317805,10.52,0.0,0,0.0,11.7
